,hour,station_complex_id,station_complex,ridership,transfers
234,09,326,Franklin St (1),29.0,0.0
235,09,392,"125 St (4,5,6)",3.0,0.0
236,09,394,110 St (6),13.0,2.0
237,09,395,103 St (6),1.0,0.0
238,09,397,"86 St (4,5,6)",76.0,0.0
239,09,437,145 St (3),13.0,0.0
240,09,438,"135 St (2,3)",16.0,3.0
241,09,439,"125 St (2,3)",16.0,3.0
242,09,440,"116 St (2,3)",45.0,0.0
243,09,471,34 St-Hudson Yards (7),1.0,0.0
244,09,475,96 St (Q),74.0,9.0
245,09,475,96 St (Q),10.0,2.0
246,09,477,72 St (Q),3.0,0.0
247,09,605,"168 St (A,C,1)",224.0,1.0
248,09,612,"Lexington Av-53 St (E,M)/51 St (6)",37.0,0.0
249,09,613,"Lexington Av (N,R,W)/59 St (4,5,6)",17.0,1.0
250,09,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",15.0,0.0
251,09,623,"Canal St (J,N,Q,R,W,Z,6)",205.0,3.0
252,09,625,"Delancey St (F)/Essex St (J,M,Z)",34.0,6.0
253,09,635,"South Ferry (1)/Whitehall St (R,W)",56.0,0.0
254,09,635,"South Ferry (1)/Whitehall St (R,W)",1.0,1.0
255,09,9,"57 St-7 Av (N,Q,R,W)",79.0,0.0
256,09,146,181 St (A),74.0,1.0
257,09,16,"8 St-NYU (R,W)",3.0,0.0
258,09,16,"8 St-NYU (R,W)",30.0,0.0
259,09,168,"Spring St (C,E)",19.0,0.0
260,09,17,"Prince St (R,W)",1.0,0.0
261,09,222,Roosevelt Island (F),4.0,0.0
262,09,231,"Grand St (B,D)",75.0,0.0
263,09,234,East Broadway (F),16.0,0.0
264,09,301,181 St (1),52.0,0.0
265,09,304,145 St (1),36.0,3.0
266,09,304,145 St (1),12.0,0.0
267,09,307,116 St-Columbia University (1),6.0,1.0
268,09,311,86 St (1),13.0,0.0
269,09,318,"34 St-Penn Station (1,2,3)",89.0,0.0
270,09,321,18 St (1),9.0,0.0
271,09,321,18 St (1),13.0,0.0
272,09,324,Houston St (1),2.0,0.0
273,09,397,"86 St (4,5,6)",18.0,2.0
274,09,398,77 St (6),29.0,4.0
275,09,398,77 St (6),4.0,0.0
276,09,407,Astor Pl (6),4.0,0.0
277,09,436,Harlem-148 St (3),9.0,0.0
278,09,436,Harlem-148 St (3),46.0,0.0
279,09,440,"116 St (2,3)",37.0,0.0
280,09,623,"Canal St (J,N,Q,R,W,Z,6)",76.0,1.0
281,09,625,"Delancey St (F)/Essex St (J,M,Z)",71.0,0.0
282,09,8,"5 Av/59 St (N,R,W)",1.0,0.0
283,09,9,"57 St-7 Av (N,Q,R,W)",309.0,3.0
284,09,9,"57 St-7 Av (N,Q,R,W)",3.0,0.0
285,09,103,"Bowery (J,Z)",31.0,0.0
286,09,13,"28 St (R,W)",6.0,0.0
287,09,145,190 St (A),4.0,0.0
288,09,147,175 St (A),211.0,1.0
289,09,150,155 St (C),3.0,0.0
290,09,155,"Cathedral Pkwy (110 St) (C,B)",8.0,0.0
291,09,157,"96 St (C,B)",5.0,0.0
292,09,164,"34 St-Penn Station (A,C,E)",61.0,1.0
293,09,164,"34 St-Penn Station (A,C,E)",112.0,0.0
294,09,168,"Spring St (C,E)",9.0,0.0
295,09,22,"Rector St (R,W)",56.0,0.0
296,09,22,"Rector St (R,W)",1.0,0.0
297,09,220,"155 St (B,D)",12.0,0.0
298,09,224,57 St (F),22.0,0.0
299,09,231,"Grand St (B,D)",85.0,0.0
300,09,303,157 St (1),53.0,0.0
301,09,312,79 St (1),22.0,0.0
302,09,313,"72 St (1,2,3)",8.0,0.0
303,09,323,Christopher St-Sheridan Sq (1),1.0,0.0
304,09,325,Canal St (1),2.0,0.0
305,09,397,"86 St (4,5,6)",16.0,1.0
306,09,403,33 St (6),88.0,0.0
307,09,404,28 St (6),4.0,0.0
308,09,437,145 St (3),1.0,0.0
309,09,438,"135 St (2,3)",11.0,0.0
310,09,471,34 St-Hudson Yards (7),14.0,0.0
311,09,601,"14 St (F,M,1,2,3)/6 Av (L)",339.0,95.0
312,09,609,"Bryant Pk (B,D,F,M)/5 Av (7)",198.0,0.0
313,09,610,"Grand Central-42 St (S,4,5,6,7)",142.0,0.0
314,09,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2950.0,42.0
315,09,612,"Lexington Av-53 St (E,M)/51 St (6)",65.0,0.0
316,09,TRAM1,RI Tramway (Manhattan),4.0,0.0
317,09,TRAM2,RI Tramway (Roosevelt),35.0,0.0
318,09,13,"28 St (R,W)",143.0,1.0
319,09,153,"125 St (A,C,B,D)",109.0,0.0
320,09,157,"96 St (C,B)",113.0,8.0
321,09,160,"72 St (C,B)",1.0,0.0
322,09,162,"50 St (C,E)",18.0,2.0
323,09,165,"23 St (C,E)",39.0,0.0
324,09,304,145 St (1),13.0,0.0
325,09,310,"96 St (1,2,3)",13.0,0.0
326,09,318,"34 St-Penn Station (1,2,3)",201.0,0.0
327,09,392,"125 St (4,5,6)",49.0,2.0
328,09,393,116 St (6),26.0,0.0
329,09,394,110 St (6),55.0,0.0
330,09,398,77 St (6),11.0,0.0
331,09,398,77 St (6),88.0,8.0
332,09,404,28 St (6),61.0,0.0
333,09,407,Astor Pl (6),129.0,3.0
334,09,409,Spring St (6),73.0,0.0
335,09,413,"Wall St (4,5)",37.0,0.0
336,09,609,"Bryant Pk (B,D,F,M)/5 Av (7)",378.0,14.0
337,09,613,"Lexington Av (N,R,W)/59 St (4,5,6)",154.0,0.0
338,09,613,"Lexington Av (N,R,W)/59 St (4,5,6)",394.0,105.0
339,09,614,"59 St-Columbus Circle (A,B,C,D,1)",31.0,1.0
