facility_id,program_type,facility_status,facility_name,city,zip_code,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capcity,total_capacity
764691,GFDC,License,Little Bees Day Care Inc,Hempstead,11550,Uniondale,0,0,0,4,12,16
265295,GFDC,License,Camm Day Care,Jamaica,11436,Queens 27,0,0,0,4,12,16
787551,DCC,License,"Barry & Florence Friedberg Jewish Community Center, Inc.",Lynbrook,11563,Lynbrook,23,17,127,0,0,167
566839,GFDC,License,"Caminero, Mariela",Bronx,10451,Bronx 7,0,0,0,4,12,16
45292,SACC,Registration,"Boys and Girls Clubs of Buffalo, Inc.",Buffalo,14213,Buffalo,0,0,0,120,0,120
74089,SACC,Registration,LONG ISLAND CITY YMCA SACC,Long Island City,11101,Queens 30,0,0,0,136,0,136
577641,GFDC,License,"Espinoza Rosado, Wendy",Astoria,11103,Queens 30,0,0,0,0,10,10
600511,FDC,Registration,"Romano, Dawn",Kerhonkson,12446,Rondout Valley,0,0,0,2,6,8
43143,SACC,Registration,SCOPE Education Services,Levittown,11756,Island Trees,0,0,0,60,0,60
837858,GFDC,License,Bibi CC LLC,Brooklyn,11212,Brooklyn 23,0,0,0,4,12,16
249285,FDC,Registration,"Williams, Vickie",Corning,14830,Corning,0,0,0,2,6,8
838608,GFDC,License,Rhyme Time Day Care,Richmond Hill,11418,Queens 27,0,0,0,4,12,16
810165,GFDC,License,LOVE YOU DAYCARE,Bronx,10453,Bronx 10,0,0,0,4,12,16
231546,GFDC,License,Adventure Day Care Inc.,Babylon,11702,Babylon,0,0,0,4,12,16
641819,GFDC,License,My Little Diamonds,Woodhaven,11421,Queens 27,0,0,0,4,12,16
362595,GFDC,License,"Nunez De Hernandez, Rafaela",Bronx,10468,Bronx 10,0,0,0,2,10,12
864525,GFDC,License,"Rufino Milane, Madolin",Bronx,10456,Bronx 9,0,0,0,0,12,12
400110,GFDC,License,Madison's Alphabet House,Newburgh,12550,Newburgh,0,0,0,4,12,16
73286,SACC,Registration,"New York Edge, Inc.",Brooklyn,11233,Brooklyn 16,0,0,0,300,0,300
790940,SACC,Pending Revocation,Roads to Success @ MSC,New York,10025,Manhattan 3,0,0,0,259,0,259
72279,GFDC,License,"Budhu, Chandraki",Bronx,10466,Bronx 11,0,0,0,4,12,16
400765,GFDC,License,MOTHER GOOSE DAYCARE,Bronx,10475,Bronx 11,0,0,0,4,12,16
212831,DCC,License,Great Beginnings Preschool,Burlington Flats,13315,Edmeston,0,0,30,0,0,30
803025,GFDC,License,Osmery's Day Care LLC,Bronx,10458,Bronx 10,0,0,0,4,12,16
819851,GFDC,License,Paradise of Joy LLC,Bronx,10454,Bronx 7,0,0,0,4,12,16
41425,DCC,License,Whitney Point Preschool & Daycare Inc.,Whitney Point,13862,Whitney Pt,16,12,18,0,0,46
726087,GFDC,License,GOOGOOGAAGAA HOUSE,Brooklyn,11235,Brooklyn 22,0,0,0,4,12,16
801864,SACC,Registration,Just For Kids,Buffalo,14206,Cheektowaga-Sloan,0,0,0,44,0,44
442720,GFDC,License,"Santos, Felicita",New York,10034,Manhattan 6,0,0,0,2,12,14
41016,SACC,Registration,"School's Out, Inc.",Glenmont,12077,Bethlehem,0,0,0,75,0,75
748149,SACC,Registration,"Police Athletic League, Inc.",Staten Island,10305,Richmond 31,0,0,0,143,0,143
429389,SACC,Registration,Saratoga Regional Young Men's Christian Association,Saratoga Springs,12866,Saratoga Springs,0,0,0,44,0,44
372988,GFDC,License,"Tavera De Peralta, Percida",BRONX,10452,Bronx 9,0,0,0,2,12,14
121820,GFDC,License,"Sinanan, Angela",SO OZONE PARK,11420,Queens 28,0,0,0,4,12,16
564709,GFDC,License,Maribel Minaya Group Corporation,Bronx,10457,Bronx 9,0,0,0,4,12,16
874794,GFDC,License,"Reyes, Alicia",bronx,10467,Bronx 10,0,0,0,4,12,16
51349,FDC,Registration,"Valerio, Gladys",Bronx,10474,Bronx 8,0,0,0,0,6,6
854479,GFDC,License,My Little Sweetheart Corp,bayside,11360,Queens 25,0,0,0,4,12,16
102905,FDC,Registration,Madis A. Crowell,New York,10027,Manhattan 5,0,0,0,2,6,8
150851,DCC,License,St. Anthony's Learning Center,Endicott,13760,Union-Endicott,0,0,138,84,0,222
699059,DCC,License,Step By Step Childcare Center LLC,Hopewell Junction,12533,Wappingers,16,24,39,20,0,99
571641,GFDC,License,"Disla Cabrera, Maritza",New York,10039,Manhattan 5,0,0,0,4,12,16
813536,GFDC,License,"Gonzalez De Rodriguez, Ingrid",Bronx,10473,Bronx 8,0,0,0,4,12,16
370781,GFDC,License,"Guzman-Andujar, Keyla",Bronx,10453,Bronx 10,0,0,0,4,12,16
66813,FDC,Registration,"Uruchima, Rosa",NEW YORK,10019,Manhattan 2,0,0,0,2,6,8
730542,SACC,Registration,HANAC SONYC After School Program @ St. Demetrios,Astoria,11102,Queens 30,0,0,0,128,0,128
855550,GFDC,License,"Delgado, Jackeline",bronx,10456,Bronx 9,0,0,0,2,12,14
556504,GFDC,License,Little Friends Child Care,Patterson,12563,Carmel,0,0,0,4,12,16
665082,GFDC,License,"MARY FAMILY GROUP DAYCARE, INC.",Bronx,10452,Bronx 9,0,0,0,4,12,16
40482,DCC,License,"Wayne County Action Program, Inc.",Sodus,145519370,Sodus,0,12,18,0,0,30
770048,GFDC,License,Divine Kids Group Family Day Care Provider,Yonkers,10701,Yonkers,0,0,0,4,12,16
363887,SACC,Registration,SCAN-Harbor,Bronx,10452,Bronx 9,0,0,0,150,0,150
523553,GFDC,License,"Arias, Fanny",Bronx,10466,Bronx 11,0,0,0,4,12,16
848698,SACC,Registration,Concrete Safaris Inc.,New York,10029,Manhattan 4,0,0,0,72,0,72
666434,GFDC,License,Little Smiles Big Dreams Corp.,Long Beach,11561,Long Beach,0,0,0,4,12,16
821689,GFDC,License,Loving Childcare Inc,Elmont,11003,Elmont,0,0,0,4,12,16
584441,GFDC,License,"Menual, Daisy",New York,10031,Manhattan 6,0,0,0,4,12,16
709322,FDC,Registration,"Ingerson, Kristen",Whitesboro,13492,Westmoreland,0,0,0,2,6,8
230286,GFDC,License,Regina's Daycare LLC,Brooklyn,11201,Brooklyn 15,0,0,0,4,12,16
389215,DCC,License,The Life Lutheran Church of Old Westbury New York,Old Westbury,11568,Westbury,0,24,46,37,0,107
648611,GFDC,License,KINDERCARE GROUP FAMILY DAYCARE INC,Bronx,10467,Bronx 10,0,0,0,4,12,16
43074,SACC,Registration,"Young Men`s Christian Association of Central New York, Inc.",Cicero,13039,North Syracuse,0,0,0,60,0,60
622443,GFDC,License,"Krengel Sr, Chaya",Brooklyn,11219,Brooklyn 20,0,0,0,4,12,16
71886,GFDC,License,"Qtpiez, LLC",Brooklyn,11218,Brooklyn 20,0,0,0,4,12,16
718299,GFDC,License,Infants And Toddlers Bright Beginnings Inc.,Brooklyn,11208,Brooklyn 19,0,0,0,4,12,16
780596,GFDC,License,Safi Day Care,Bronx,10451,Bronx 7,0,0,0,2,12,14
37524,FDC,Registration,"Polanco, Maria",Garnerville,10923,Haverstraw-Stony Pt,0,0,0,2,6,8
520607,GFDC,License,"Carter-Mcfadden, Shonte",New York,10026,Manhattan 3,0,0,0,4,12,16
816244,SACC,Registration,SCOPE Education Services,Selden,11787,Middle Country,0,0,0,105,0,105
842634,GFDC,License,"Aleman, Wilson",Bronx,10468,Bronx 10,0,0,0,4,12,16
243830,FDC,Registration,"Castillo, Yajaira",Bronx,10468,Bronx 10,0,0,0,2,6,8
55338,FDC,Registration,"Marquez, Esperanza",Bronx,10457,Bronx 9,0,0,0,0,6,6
478379,FDC,Registration,Rainbow's End Child Care,Ithaca,14850,Ithaca,0,0,0,2,6,8
19102,FDC,Registration,T-Nee Angels,Nyack,10960,Nyack,0,0,0,2,6,8
687035,FDC,Registration,"Thomas, Koreen",Brooklyn,11212,Brooklyn 23,0,0,0,2,6,8
663060,GFDC,License,"Friendly Family Group Day Care, Inc.",Westbury,11590,Westbury,0,0,0,4,12,16
254509,SACC,Registration,S.I.C.C. Inc,STATEN ISLAND,10306,Richmond 31,0,0,0,36,0,36
114317,FDC,Registration,"Patterson, Jennifer",Corning,14830,Corning,0,0,0,2,6,8
