month,division,line,day_type,num_sched_trains,num_actual_trains,service_delivered
2024-05,A DIVISION,7,1,2944,2784,0.945652174
2024-05,A DIVISION,7,2,1168,1168,1
2024-05,A DIVISION,S 42nd,2,1464,1464,1
2024-05,A DIVISION,S 42nd,1,2222,2216,0.99729973
2024-05,B DIVISION,A,2,1306,1267,0.970137825
2024-05,B DIVISION,A,1,2807,2661,0.947987175
2024-05,B DIVISION,B,1,1848,1682,0.91017316
2024-05,B DIVISION,C,1,1674,1558,0.930704898
2024-05,B DIVISION,C,2,1118,1078,0.964221825
2024-05,B DIVISION,D,1,2007,1903,0.948181365
2024-05,B DIVISION,D,2,1280,1255,0.98046875
2024-05,B DIVISION,E,2,480,465,0.96875
2024-05,B DIVISION,E,1,1716,1625,0.946969697
2024-05,B DIVISION,F,2,1280,1099,0.85859375
2024-05,B DIVISION,F,1,3190,2997,0.939498433
2024-05,B DIVISION,G,2,1605,1595,0.99376947
2024-05,B DIVISION,G,1,1034,997,0.964216634
2024-05,B DIVISION,JZ,2,660,636,0.963636364
2024-05,B DIVISION,JZ,1,1122,1091,0.972370766
2024-05,B DIVISION,L,2,960,953,0.992708333
2024-05,B DIVISION,L,1,2111,2054,0.972998579
2024-05,B DIVISION,M,2,897,875,0.975473802
2024-05,B DIVISION,M,1,1980,1832,0.925252525
2024-05,B DIVISION,N,1,2002,1860,0.929070929
2024-05,B DIVISION,N,2,1281,1241,0.968774395
2024-05,B DIVISION,Q,1,2266,2158,0.952338923
2024-05,B DIVISION,Q,2,1700,1649,0.97
2024-05,B DIVISION,R,1,2266,2087,0.921006178
2024-05,B DIVISION,R,2,1040,1005,0.966346154
2024-05,B DIVISION,S Fkln,1,792,789,0.996212121
2024-05,B DIVISION,S Fkln,2,704,696,0.988636364
2024-05,B DIVISION,S Rock,1,462,463,1.002164502
2024-05,B DIVISION,S Rock,2,226,225,0.995575221
2024-05,B DIVISION,W,1,858,781,0.91025641
2024-05,Systemwide,Systemwide,2,24934,24094,0.966311061
2024-05,Systemwide,Systemwide,1,47992,45576,0.949658276
2024-04,A DIVISION,1,2,1030,1000,0.970873786
2024-04,A DIVISION,1,1,1848,1760,0.952380952
2024-04,A DIVISION,2,1,2442,2308,0.945126945
2024-04,A DIVISION,2,2,1417,1361,0.960479887
2024-04,A DIVISION,3,1,2266,2151,0.949249779
2024-04,A DIVISION,3,2,960,950,0.989583333
2024-04,A DIVISION,4,2,1910,1887,0.987958115
2024-04,A DIVISION,4,1,3031,2922,0.964038271
2024-04,A DIVISION,5,1,2723,2583,0.948586118
2024-04,A DIVISION,5,2,1020,961,0.942156863
2024-04,A DIVISION,6,2,1166,1142,0.97941681
2024-04,A DIVISION,6,1,2266,2195,0.968667255
2024-04,A DIVISION,7,1,2948,2778,0.942333786
