year,month,day_of_week,hour_of_day,timestamp,origin_station_complex_id,origin_station_complex_name,origin_latitude,origin_longitude,destination_station_complex_id,destination_station_complex_name,destination_latitude,destination_longitude,estimated_average_ridership,origin_point,destination_point
2023,10,Tuesday,15,2023-10-03T15:00:00.000,205,Beach 60 St (A),40.592374,-73.788522,195,Ozone Park-Lefferts Blvd (A),40.685951,-73.825798,2.6442,"{'type': 'Point', 'coordinates': [-73.788522, 40.592374]}","{'type': 'Point', 'coordinates': [-73.825798, 40.685951]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,626,"Franklin Av (2,3,4,5)/Botanic Garden (S)",40.670513,-73.958688,616,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",40.746746,-73.891366,2.7938,"{'type': 'Point', 'coordinates': [-73.958688, 40.670513]}","{'type': 'Point', 'coordinates': [-73.891366, 40.746746]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,250,Kings Hwy (F),40.603217,-73.972361,447,Flushing-Main St (7),40.7596,-73.83003,1.1678,"{'type': 'Point', 'coordinates': [-73.972361, 40.603217]}","{'type': 'Point', 'coordinates': [-73.83003, 40.7596]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,293,Van Cortlandt Park-242 St (1),40.889248,-73.898583,1,"Astoria-Ditmars Blvd (N,W)",40.775036,-73.912034,0.5874,"{'type': 'Point', 'coordinates': [-73.898583, 40.889248]}","{'type': 'Point', 'coordinates': [-73.912034, 40.775036]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,629,Lorimer St (L)/Metropolitan Av (G),40.713428,-73.950847,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",40.749643,-73.987887,7.4798,"{'type': 'Point', 'coordinates': [-73.950847, 40.713428]}","{'type': 'Point', 'coordinates': [-73.987887, 40.749643]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,361,Buhre Av (6),40.84681,-73.832569,396,96 St (6),40.785672,-73.95107,3.124,"{'type': 'Point', 'coordinates': [-73.832569, 40.84681]}","{'type': 'Point', 'coordinates': [-73.95107, 40.785672]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,625,"Delancey St (F)/Essex St (J,M,Z)",40.718463,-73.987776,218,"167 St (B,D)",40.833771,-73.91844,4.5494,"{'type': 'Point', 'coordinates': [-73.987776, 40.718463]}","{'type': 'Point', 'coordinates': [-73.91844, 40.833771]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,337,"Nevins St (2,3,4,5)",40.688246,-73.980492,154,"116 St (C,B)",40.805085,-73.954882,0.6808,"{'type': 'Point', 'coordinates': [-73.980492, 40.688246]}","{'type': 'Point', 'coordinates': [-73.954882, 40.805085]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",40.735066,-73.990416,222,Roosevelt Island (F),40.759145,-73.95326,13.4452,"{'type': 'Point', 'coordinates': [-73.990416, 40.735066]}","{'type': 'Point', 'coordinates': [-73.95326, 40.759145]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,236,"Bergen St (F,G)",40.686145,-73.990862,292,Fulton St (G),40.687119,-73.975375,13.0734,"{'type': 'Point', 'coordinates': [-73.990862, 40.686145]}","{'type': 'Point', 'coordinates': [-73.975375, 40.687119]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,605,"168 St (A,C,1)",40.840638,-73.939847,205,Beach 60 St (A),40.592374,-73.788522,0.7516,"{'type': 'Point', 'coordinates': [-73.939847, 40.840638]}","{'type': 'Point', 'coordinates': [-73.788522, 40.592374]}"
